step,time_ps,avg_mx,avg_my,avg_mz,min_norm,max_norm,probe_mz,max_t_e,max_t_p,min_m_reduced
0,0.0000,0.000000,0.000000,0.562934,0.99999994,1.00000000,0.797170,0.00,0.00,0.000000
2000,20.0000,-0.000000,0.000000,0.564034,0.99999988,1.00000000,0.827703,0.00,0.00,0.000000
4000,40.0000,0.000000,0.000000,0.598122,0.99999988,1.00000000,0.876690,0.00,0.00,0.000000
6000,60.0000,0.000001,-0.000000,0.603099,0.99999988,1.00000000,0.923972,0.00,0.00,0.000000
8000,80.0000,0.000006,0.000003,0.631838,0.99999988,1.00000000,0.956330,0.00,0.00,0.000000
10000,100.0000,-0.000027,0.000042,0.641592,0.99999988,1.00000000,0.969002,0.00,0.00,0.000000
12000,120.0000,-0.000089,0.000280,0.616027,0.99999988,1.00000000,0.969670,0.00,0.00,0.000000
14000,140.0000,-0.000561,0.000226,0.605437,0.99999988,1.00000000,0.975087,0.00,0.00,0.000000
16000,160.0000,-0.000336,0.000530,0.617414,0.99999988,1.00000000,0.895770,0.00,0.00,0.000000
18000,180.0000,0.000951,-0.001232,0.605558,0.99999988,1.00000000,0.997798,0.00,0.00,0.000000
20000,200.0000,-0.000656,-0.000182,0.608685,0.99999988,1.00000000,0.997398,0.00,0.00,0.000000
